Country,Country & Area Code, Rate/Minute ($A) 
Afghanistan,93, $0.44 
Afghanistan - Mobile - AT,9375, $0.42 
Afghanistan - Mobile - AWCC,9371, $0.38 
Afghanistan - Mobile - AWCC,9370, $0.38 
Afghanistan - Mobile - Etisalat,9373, $0.37 
Afghanistan - Mobile - Etisalat,9378, $0.37 
Afghanistan - Mobile - MTN,9376, $0.42 
Afghanistan - Mobile - MTN,9377, $0.42 
Afghanistan - Mobile - Roshan,9372, $0.40 
Afghanistan - Mobile - Roshan,9379, $0.40 
Afghanistan - Mobile - Salam,9374, $0.42 
Albania,355, $0.42 
Albania - AMC,35521, $0.58 
Albania - AMC,35522, $0.58 
Albania - AMC,35524, $0.58 
Albania - AMC,35526, $0.58 
Albania - AMC,35527, $0.58 
Albania - AMC,35528, $0.58 
Albania - AMC,35529, $0.58 
Albania - AMC,3553, $0.58 
Albania - AMC,35546, $0.58 
Albania - AMC,35547, $0.58 
Albania - AMC,35548, $0.58 
Albania - AMC,35549, $0.58 
Albania - AMC,3555, $0.58 
Albania - AMC,35572, $0.58 
Albania - AMC,3558, $0.58 
Albania - Centralcom PRS,355450, $1.18 
Albania - Mobile - AMC,35568, $0.78 
Albania - Mobile - Eagle,35567, $0.98 
Albania - Mobile - Plus,35566, $0.86 
Albania - Mobile - Vodafone,35569, $0.78 
Albania - Premium Services,3554402, $1.38 
Albania - Special PRS,355466, $1.38 
Albania - Tirane,355422, $0.58 
Albania - Tirane,355423, $0.58 
Albania - Tirane,355424, $0.58 
Albania - Tirane,35543, $0.58 
Algeria,213, $0.14 
Algeria - Alger,21320, $0.14 
Algeria - Alger,21321, $0.14 
Algeria - Alger,21322, $0.14 
Algeria - Mobile - Mobilis,21365, $0.98 
Algeria - Mobile - Mobilis,21366, $0.98 
Algeria - Mobile - Mobilis,21367, $0.98 
Algeria - Mobile - Mobilis,21368, $0.98 
Algeria - Mobile - Mobilis,21369, $0.98 
Algeria - Mobile - Ooredoo,2135, $1.16 
Algeria - Mobile - Orascom,21377, $0.98 
Algeria - Mobile - Orascom,21378, $0.98 
Algeria - Mobile - Orascom,21379, $0.98 
American Samoa,1684, $0.39 
Andorra,376, $0.04 
Andorra - Mobile,3763, $0.41 
Andorra - Mobile,3764, $0.41 
Andorra - Mobile,3766, $0.41 
Angola,244, $0.14 
Angola - Mobile - Movicel,24491, $0.52 
Angola - Mobile - Movicel,24499, $0.52 
Angola - Mobile - Unitel,24492, $0.46 
Angola - Mobile - Unitel,24493, $0.46 
Angola - Mobile - Unitel,24494, $0.46 
Angola - Premium Services,2449916349, $2.12 
Angola - Premium Services,244991635, $2.12 
Angola - Premium Services,2449916360, $2.12 
Angola - Premium Services,2449968630, $2.12 
Angola - Premium Services,244996862, $1.78 
Angola - Premium Services,244949172, $1.78 
Anguilla,1264, $0.98 
Anguilla - Mobile - Digicel,1264581, $1.18 
Anguilla - Mobile - Digicel,1264582, $1.18 
Anguilla - Mobile - Digicel,1264583, $1.18 
Anguilla - Mobile - Digicel,1264584, $1.18 
Anguilla - Mobile - Other,1264235, $1.18 
Anguilla - Mobile - Other,1264469, $1.18 
Anguilla - Mobile - Other,1264476, $1.18 
Anguilla - Mobile - Other,1264536, $1.18 
Anguilla - Mobile - Other,1264537, $1.18 
Anguilla - Mobile - Other,1264538, $1.18 
Anguilla - Mobile - Other,1264543, $1.18 
Anguilla - Mobile - Other,1264729, $1.18 
Anguilla - Mobile - Other,1264772, $1.18 
Anguilla - Premium Services,1264540, $1.38 
Anguilla - Premium Services,1264539, $1.38 
Antarctica & Islands,672, $3.80 
Antarctica & Islands - Antartic,6721, $3.80 
Antigua & Barbuda,1268, $0.38 
Antigua & Barbuda - Mobile,1268464, $0.43 
Antigua & Barbuda - Mobile,126872, $0.43 
Antigua & Barbuda - Mobile,1268764, $0.43 
Antigua & Barbuda - Mobile,126877, $0.43 
Antigua & Barbuda - Mobile,126878, $0.43 
Antigua & Barbuda - Mobile,126871, $0.58 
Antigua & Barbuda - Mobile,126873, $0.58 
Antigua & Barbuda - Mobile,1268762, $0.43 
Argentina,54, $0.05 
Argentina - Bahia Blanca,54291, $0.01 
Argentina - Buenos Aires,5411, $0.01 
Argentina - Cordoba,54351, $0.01 
Argentina - Corredores On Net,54232, $0.03 
Argentina - Corredores On Net,542362, $0.03 
Argentina - Corredores On Net,54237, $0.03 
Argentina - Corredores On Net,54264, $0.03 
Argentina - Corredores On Net,54299, $0.03 
Argentina - Corredores On Net,54332, $0.03 
Argentina - Corredores On Net,54343, $0.03 
Argentina - Corredores On Net,54348, $0.03 
Argentina - Corredores On Net,54358, $0.03 
Argentina - Corredores On Net,54372, $0.03 
Argentina - Corredores On Net,543783, $0.03 
Argentina - Corredores On Net,54381, $0.03 
Argentina - Corredores On Net,54387, $0.03 
Argentina - La Plata,54221, $0.01 
Argentina - Mar del Plata,54223, $0.01 
Argentina - Mendoza,54261, $0.01 
Argentina - Mobile,549, $0.41 
Argentina - Rosario,54341, $0.01 
Argentina - Santa Fe,54342, $0.01 
Armenia,374, $0.33 
Armenia - Fixed - Ucom,37411, $0.33 
Armenia - Mobile - Armentel GSM,37443, $0.44 
Armenia - Mobile - Armentel GSM,37491, $0.44 
Armenia - Mobile - Armentel GSM,37496, $0.44 
Armenia - Mobile - Armentel GSM,37499, $0.44 
Armenia - Mobile - Nagorny Karabakh,37497, $0.36 
Armenia - Mobile - Ucom,37441, $0.42 
Armenia - Mobile - Ucom,37455, $0.42 
Armenia - Mobile - Ucom,37495, $0.42 
Armenia - Mobile - Ucom,37444, $0.42 
Armenia - Mobile - VivaCell,37449, $0.42 
Armenia - Mobile - VivaCell,37477, $0.42 
Armenia - Mobile - VivaCell,37493, $0.42 
Armenia - Mobile - VivaCell,37494, $0.42 
Armenia - Mobile - VivaCell,37498, $0.42 
Armenia - Mobile - VivaCell,37488, $0.42 
Armenia - Nagorny Karabakh Region,37447, $0.18 
Armenia - Non Geographical,37460, $0.32 
Armenia - Yerevan,37410, $0.33 
Aruba,297, $0.16 
Aruba - Mobile - Digicel,29763, $0.36 
Aruba - Mobile - Digicel,29764, $0.36 
